文件名,文件大小(字节),本地完整路径,云端路径,云端链接,上传状态,上传时间,所属文件夹,相对路径
元认知理论视域下高中学生问题解决能力培养的教学研究_辛苗源.pdf,4134710,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片三：元认知理论\元认知理论视域下高中学生问题解决能力培养的教学研究_辛苗源.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片三：元认知理论/元认知理论视域下高中学生问题解决能力培养的教学研究_辛苗源.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片三：元认知理论/元认知理论视域下高中学生问题解决能力培养的教学研究_辛苗源.pdf,成功,2026-04-04 19:25:15,math-teaching-resources/理论卡片,理论文献\理论卡片三：元认知理论\元认知理论视域下高中学生问题解决能力培养的教学研究_辛苗源.pdf
基于元认知理论的高中数学建模教学策略研究_何靖雯.pdf,4375332,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片三：元认知理论\基于元认知理论的高中数学建模教学策略研究_何靖雯.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片三：元认知理论/基于元认知理论的高中数学建模教学策略研究_何靖雯.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片三：元认知理论/基于元认知理论的高中数学建模教学策略研究_何靖雯.pdf,成功,2026-04-04 19:25:17,math-teaching-resources/理论卡片,理论文献\理论卡片三：元认知理论\基于元认知理论的高中数学建模教学策略研究_何靖雯.pdf
基于元认知理论的高中数学教学方法探究——以“球与几何体的切接”为例_王小燕.pdf,1245283,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片三：元认知理论\基于元认知理论的高中数学教学方法探究——以“球与几何体的切接”为例_王小燕.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片三：元认知理论/基于元认知理论的高中数学教学方法探究——以“球与几何体的切接”为例_王小燕.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片三：元认知理论/基于元认知理论的高中数学教学方法探究——以“球与几何体的切接”为例_王小燕.pdf,成功,2026-04-04 19:25:18,math-teaching-resources/理论卡片,理论文献\理论卡片三：元认知理论\基于元认知理论的高中数学教学方法探究——以“球与几何体的切接”为例_王小燕.pdf
“最近发展区”理念下的问题链教学——以“函数奇偶性”教学为例_李若璕.pdf,185432,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片九：“最近发展区”理论\“最近发展区”理念下的问题链教学——以“函数奇偶性”教学为例_李若璕.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/“最近发展区”理念下的问题链教学——以“函数奇偶性”教学为例_李若璕.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/“最近发展区”理念下的问题链教学——以“函数奇偶性”教学为例_李若璕.pdf,成功,2026-04-04 19:25:18,math-teaching-resources/理论卡片,理论文献\理论卡片九：“最近发展区”理论\“最近发展区”理念下的问题链教学——以“函数奇偶性”教学为例_李若璕.pdf
“最近发展区”理论下高中数学隐性分层教学实践研究_樊品.pdf,2935164,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片九：“最近发展区”理论\“最近发展区”理论下高中数学隐性分层教学实践研究_樊品.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/“最近发展区”理论下高中数学隐性分层教学实践研究_樊品.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/“最近发展区”理论下高中数学隐性分层教学实践研究_樊品.pdf,成功,2026-04-04 19:25:20,math-teaching-resources/理论卡片,理论文献\理论卡片九：“最近发展区”理论\“最近发展区”理论下高中数学隐性分层教学实践研究_樊品.pdf
“最近发展区”理论在差异化作业设计中的案例研究——以“圆”单元为例_杜光耀.pdf,1090418,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片九：“最近发展区”理论\“最近发展区”理论在差异化作业设计中的案例研究——以“圆”单元为例_杜光耀.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/“最近发展区”理论在差异化作业设计中的案例研究——以“圆”单元为例_杜光耀.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/“最近发展区”理论在差异化作业设计中的案例研究——以“圆”单元为例_杜光耀.pdf,成功,2026-04-04 19:25:21,math-teaching-resources/理论卡片,理论文献\理论卡片九：“最近发展区”理论\“最近发展区”理论在差异化作业设计中的案例研究——以“圆”单元为例_杜光耀.pdf
基于“最近发展区”理论下对高中数学分层教学的探究与思考_傅文菊.pdf,6977505,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片九：“最近发展区”理论\基于“最近发展区”理论下对高中数学分层教学的探究与思考_傅文菊.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/基于“最近发展区”理论下对高中数学分层教学的探究与思考_傅文菊.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/基于“最近发展区”理论下对高中数学分层教学的探究与思考_傅文菊.pdf,成功,2026-04-04 19:25:24,math-teaching-resources/理论卡片,理论文献\理论卡片九：“最近发展区”理论\基于“最近发展区”理论下对高中数学分层教学的探究与思考_傅文菊.pdf
基于“最近发展区”理论的数学课堂教学实践——以“等比数列前n项和”教学为例_潘爱花 (1).pdf,787819,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片九：“最近发展区”理论\基于“最近发展区”理论的数学课堂教学实践——以“等比数列前n项和”教学为例_潘爱花 (1).pdf,math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/基于“最近发展区”理论的数学课堂教学实践——以“等比数列前n项和”教学为例_潘爱花 (1).pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/基于“最近发展区”理论的数学课堂教学实践——以“等比数列前n项和”教学为例_潘爱花 (1).pdf,成功,2026-04-04 19:25:25,math-teaching-resources/理论卡片,理论文献\理论卡片九：“最近发展区”理论\基于“最近发展区”理论的数学课堂教学实践——以“等比数列前n项和”教学为例_潘爱花 (1).pdf
基于最近发展区理论的函数教学研究_张妮.pdf,9530787,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片九：“最近发展区”理论\基于最近发展区理论的函数教学研究_张妮.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/基于最近发展区理论的函数教学研究_张妮.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/基于最近发展区理论的函数教学研究_张妮.pdf,成功,2026-04-04 19:25:30,math-teaching-resources/理论卡片,理论文献\理论卡片九：“最近发展区”理论\基于最近发展区理论的函数教学研究_张妮.pdf
基于最近发展区的精准教学课堂实践研究_许丽丽.pdf,634521,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片九：“最近发展区”理论\基于最近发展区的精准教学课堂实践研究_许丽丽.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/基于最近发展区的精准教学课堂实践研究_许丽丽.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/基于最近发展区的精准教学课堂实践研究_许丽丽.pdf,成功,2026-04-04 19:25:30,math-teaching-resources/理论卡片,理论文献\理论卡片九：“最近发展区”理论\基于最近发展区的精准教学课堂实践研究_许丽丽.pdf
最近发展区理论视域下的精准学习模式探究_赵庆海.pdf,1706897,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片九：“最近发展区”理论\最近发展区理论视域下的精准学习模式探究_赵庆海.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/最近发展区理论视域下的精准学习模式探究_赵庆海.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片九：“最近发展区”理论/最近发展区理论视域下的精准学习模式探究_赵庆海.pdf,成功,2026-04-04 19:25:31,math-teaching-resources/理论卡片,理论文献\理论卡片九：“最近发展区”理论\最近发展区理论视域下的精准学习模式探究_赵庆海.pdf
基于学习迁移理论的高中数学教学策略_赵成祥.pdf,990350,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片二十一：学习迁移理论\基于学习迁移理论的高中数学教学策略_赵成祥.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/基于学习迁移理论的高中数学教学策略_赵成祥.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/基于学习迁移理论的高中数学教学策略_赵成祥.pdf,成功,2026-04-04 19:25:32,math-teaching-resources/理论卡片,理论文献\理论卡片二十一：学习迁移理论\基于学习迁移理论的高中数学教学策略_赵成祥.pdf
基于迁移理论促进学生深度学习的教学研究_苏佳.pdf,2616948,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片二十一：学习迁移理论\基于迁移理论促进学生深度学习的教学研究_苏佳.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/基于迁移理论促进学生深度学习的教学研究_苏佳.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/基于迁移理论促进学生深度学习的教学研究_苏佳.pdf,成功,2026-04-04 19:25:33,math-teaching-resources/理论卡片,理论文献\理论卡片二十一：学习迁移理论\基于迁移理论促进学生深度学习的教学研究_苏佳.pdf
基于迁移理论的高中数学有效学习方法研究_张子鉴.pdf,142827,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片二十一：学习迁移理论\基于迁移理论的高中数学有效学习方法研究_张子鉴.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/基于迁移理论的高中数学有效学习方法研究_张子鉴.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/基于迁移理论的高中数学有效学习方法研究_张子鉴.pdf,成功,2026-04-04 19:25:34,math-teaching-resources/理论卡片,理论文献\理论卡片二十一：学习迁移理论\基于迁移理论的高中数学有效学习方法研究_张子鉴.pdf
学习迁移理论下高中三角函数教学的现状研究_翟玉秀.pdf,7773956,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片二十一：学习迁移理论\学习迁移理论下高中三角函数教学的现状研究_翟玉秀.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/学习迁移理论下高中三角函数教学的现状研究_翟玉秀.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/学习迁移理论下高中三角函数教学的现状研究_翟玉秀.pdf,成功,2026-04-04 19:25:38,math-teaching-resources/理论卡片,理论文献\理论卡片二十一：学习迁移理论\学习迁移理论下高中三角函数教学的现状研究_翟玉秀.pdf
学习迁移理论在高中数学教学中的应用探析_段文.pdf,1175714,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片二十一：学习迁移理论\学习迁移理论在高中数学教学中的应用探析_段文.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/学习迁移理论在高中数学教学中的应用探析_段文.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/学习迁移理论在高中数学教学中的应用探析_段文.pdf,成功,2026-04-04 19:25:38,math-teaching-resources/理论卡片,理论文献\理论卡片二十一：学习迁移理论\学习迁移理论在高中数学教学中的应用探析_段文.pdf
学习迁移理论在高中数学教学中的应用研究_关露芬.pdf,2377910,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片二十一：学习迁移理论\学习迁移理论在高中数学教学中的应用研究_关露芬.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/学习迁移理论在高中数学教学中的应用研究_关露芬.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/学习迁移理论在高中数学教学中的应用研究_关露芬.pdf,成功,2026-04-04 19:25:40,math-teaching-resources/理论卡片,理论文献\理论卡片二十一：学习迁移理论\学习迁移理论在高中数学教学中的应用研究_关露芬.pdf
学习迁移理论在高中数学教学中的应用研究_吴春乔.pdf,1147610,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片二十一：学习迁移理论\学习迁移理论在高中数学教学中的应用研究_吴春乔.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/学习迁移理论在高中数学教学中的应用研究_吴春乔.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/学习迁移理论在高中数学教学中的应用研究_吴春乔.pdf,成功,2026-04-04 19:25:40,math-teaching-resources/理论卡片,理论文献\理论卡片二十一：学习迁移理论\学习迁移理论在高中数学教学中的应用研究_吴春乔.pdf
学习迁移理论在高中数学教学中的应用路径_李满满 (1).pdf,467023,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片二十一：学习迁移理论\学习迁移理论在高中数学教学中的应用路径_李满满 (1).pdf,math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/学习迁移理论在高中数学教学中的应用路径_李满满 (1).pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片二十一：学习迁移理论/学习迁移理论在高中数学教学中的应用路径_李满满 (1).pdf,成功,2026-04-04 19:25:41,math-teaching-resources/理论卡片,理论文献\理论卡片二十一：学习迁移理论\学习迁移理论在高中数学教学中的应用路径_李满满 (1).pdf
CPFS结构下高中数学单元教学设计研究_武丹玲.pdf,5318253,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片二十七：CPFS结构理论\CPFS结构下高中数学单元教学设计研究_武丹玲.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片二十七：CPFS结构理论/CPFS结构下高中数学单元教学设计研究_武丹玲.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片二十七：CPFS结构理论/CPFS结构下高中数学单元教学设计研究_武丹玲.pdf,成功,2026-04-04 19:25:44,math-teaching-resources/理论卡片,理论文献\理论卡片二十七：CPFS结构理论\CPFS结构下高中数学单元教学设计研究_武丹玲.pdf
CPFS结构理论下的高中圆锥曲线教学研究_靳竹青.pdf,6007509,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片二十七：CPFS结构理论\CPFS结构理论下的高中圆锥曲线教学研究_靳竹青.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片二十七：CPFS结构理论/CPFS结构理论下的高中圆锥曲线教学研究_靳竹青.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片二十七：CPFS结构理论/CPFS结构理论下的高中圆锥曲线教学研究_靳竹青.pdf,成功,2026-04-04 19:25:47,math-teaching-resources/理论卡片,理论文献\理论卡片二十七：CPFS结构理论\CPFS结构理论下的高中圆锥曲线教学研究_靳竹青.pdf
CPFS结构视角下高中数学概念教学的实践研究_高媛.pdf,5617142,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片二十七：CPFS结构理论\CPFS结构视角下高中数学概念教学的实践研究_高媛.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片二十七：CPFS结构理论/CPFS结构视角下高中数学概念教学的实践研究_高媛.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片二十七：CPFS结构理论/CPFS结构视角下高中数学概念教学的实践研究_高媛.pdf,成功,2026-04-04 19:25:50,math-teaching-resources/理论卡片,理论文献\理论卡片二十七：CPFS结构理论\CPFS结构视角下高中数学概念教学的实践研究_高媛.pdf
