文件名,目录,文件类型,扩展名,大小(KB),修改时间,关联文件,图片数量,备注,完整路径,云端链接
《2.3 二次函数与一元二次方程、不等式》名校精品导学案.docx,2.3二次函数与一元二次方程、不等式,原文件,.docx,292.59,2026/1/24 23:24,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》名校精品导学案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E5%90%8D%E6%A0%A1%E7%B2%BE%E5%93%81%E5%AF%BC%E5%AD%A6%E6%A1%88.docx
《2.3 二次函数与一元二次方程、不等式》名校精品导学案.md,2.3二次函数与一元二次方程、不等式,Markdown文件,.md,5.8,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》名校精品导学案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E5%90%8D%E6%A0%A1%E7%B2%BE%E5%93%81%E5%AF%BC%E5%AD%A6%E6%A1%88.md
《2.3 二次函数与一元二次方程、不等式》教学导学案.docx,2.3二次函数与一元二次方程、不等式,原文件,.docx,969.31,2026/1/24 23:24,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》教学导学案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E6%95%99%E5%AD%A6%E5%AF%BC%E5%AD%A6%E6%A1%88.docx
《2.3 二次函数与一元二次方程、不等式》教学导学案.md,2.3二次函数与一元二次方程、不等式,Markdown文件,.md,13.31,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》教学导学案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E6%95%99%E5%AD%A6%E5%AF%BC%E5%AD%A6%E6%A1%88.md
《2.3 二次函数与一元二次方程、不等式》最新教研教案教学设计.doc,2.3二次函数与一元二次方程、不等式,原文件,.doc,412,2026/1/24 23:24,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》最新教研教案教学设计.doc,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E6%9C%80%E6%96%B0%E6%95%99%E7%A0%94%E6%95%99%E6%A1%88%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1.doc
《2.3 二次函数与一元二次方程、不等式》最新教研教案教学设计.docx,2.3二次函数与一元二次方程、不等式,原文件,.docx,271.32,2026/3/26 14:03,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》最新教研教案教学设计.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E6%9C%80%E6%96%B0%E6%95%99%E7%A0%94%E6%95%99%E6%A1%88%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1.docx
《2.3 二次函数与一元二次方程、不等式》最新教研教案教学设计.md,2.3二次函数与一元二次方程、不等式,Markdown文件,.md,11.27,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》最新教研教案教学设计.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E6%9C%80%E6%96%B0%E6%95%99%E7%A0%94%E6%95%99%E6%A1%88%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1.md
《2.3 二次函数与一元二次方程、不等式》集体备课教案教学设计.doc,2.3二次函数与一元二次方程、不等式,原文件,.doc,461,2026/1/24 23:24,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》集体备课教案教学设计.doc,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E9%9B%86%E4%BD%93%E5%A4%87%E8%AF%BE%E6%95%99%E6%A1%88%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1.doc
《2.3 二次函数与一元二次方程、不等式》集体备课教案教学设计.docx,2.3二次函数与一元二次方程、不等式,原文件,.docx,292.3,2026/3/26 14:03,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》集体备课教案教学设计.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E9%9B%86%E4%BD%93%E5%A4%87%E8%AF%BE%E6%95%99%E6%A1%88%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1.docx
《2.3 二次函数与一元二次方程、不等式》集体备课教案教学设计.md,2.3二次函数与一元二次方程、不等式,Markdown文件,.md,13.85,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》集体备课教案教学设计.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E9%9B%86%E4%BD%93%E5%A4%87%E8%AF%BE%E6%95%99%E6%A1%88%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1.md
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_1.png,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,图片文件,.png,4.98,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_1.png,
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_10.emf,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,其他文件,.emf,28.4,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_10.emf,
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_11.png,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,图片文件,.png,5.15,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_11.png,
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_12.wmf,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,其他文件,.wmf,0.33,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_12.wmf,
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_13.wmf,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,其他文件,.wmf,0.33,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_13.wmf,
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_14.emf,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,其他文件,.emf,1147.57,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_14.emf,
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_15.wmf,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,其他文件,.wmf,0.33,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_15.wmf,
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_16.png,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,图片文件,.png,171.71,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_16.png,
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_17.png,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,图片文件,.png,5.92,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_17.png,
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_18.jpeg,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,图片文件,.jpeg,3.89,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_18.jpeg,
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_19.wmf,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,其他文件,.wmf,0.47,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_19.wmf,
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_2.jpeg,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,图片文件,.jpeg,5.06,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_2.jpeg,
2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_20.png,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images,图片文件,.png,4.99,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）_images\2.3 二次函数与一元二次方程、不等式 教学设计（1）_image_20.png,
