文件名,目录,文件类型,扩展名,大小(KB),修改时间,关联文件,图片数量,备注,完整路径,云端链接
新人教A版高中数学必修二第九单元《9.1.1简单随机抽样(第1课时)》教案.docx,必修二\第九章统计\9.1 随机抽样,docx,.docx,102.97,2026/2/15 15:56,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/新人教A版高中数学必修二第九单元《9.1.1简单随机抽样(第1课时)》教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/新人教A版高中数学必修二第九单元《9.1.1简单随机抽样(第1课时)》教案.docx
新人教A版高中数学必修二第九单元《9.1.1简单随机抽样(第1课时)》教案.md,必修二\第九章统计\9.1 随机抽样,md,.md,14.77,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/新人教A版高中数学必修二第九单元《9.1.1简单随机抽样(第1课时)》教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/新人教A版高中数学必修二第九单元《9.1.1简单随机抽样(第1课时)》教案.md
课时3292_9.1.1简单随机抽样（第2课时）-9.1.1简单随机抽样（第2课时）【公众号dc008免费分享】.docx,必修二\第九章统计\9.1 随机抽样,docx,.docx,144.79,2022/8/25 16:19,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时3292_9.1.1简单随机抽样（第2课时）-9.1.1简单随机抽样（第2课时）【公众号dc008免费分享】.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时3292_9.1.1简单随机抽样（第2课时）-9.1.1简单随机抽样（第2课时）【公众号dc008免费分享】.docx
课时3292_9.1.1简单随机抽样（第2课时）-9.1.1简单随机抽样（第2课时）【公众号dc008免费分享】.md,必修二\第九章统计\9.1 随机抽样,md,.md,11.19,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时3292_9.1.1简单随机抽样（第2课时）-9.1.1简单随机抽样（第2课时）【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时3292_9.1.1简单随机抽样（第2课时）-9.1.1简单随机抽样（第2课时）【公众号dc008免费分享】.md
课时3293_9.1.2分层随机抽样-9.1.2 分层随机抽样视频课教案【公众号dc008免费分享】.docx,必修二\第九章统计\9.1 随机抽样,docx,.docx,197.85,2022/8/25 16:19,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时3293_9.1.2分层随机抽样-9.1.2 分层随机抽样视频课教案【公众号dc008免费分享】.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时3293_9.1.2分层随机抽样-9.1.2 分层随机抽样视频课教案【公众号dc008免费分享】.docx
课时3293_9.1.2分层随机抽样-9.1.2 分层随机抽样视频课教案【公众号dc008免费分享】.md,必修二\第九章统计\9.1 随机抽样,md,.md,6.52,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时3293_9.1.2分层随机抽样-9.1.2 分层随机抽样视频课教案【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时3293_9.1.2分层随机抽样-9.1.2 分层随机抽样视频课教案【公众号dc008免费分享】.md
课时3294_9.1.3获取数据的途径-9.1.3获取数据的途径【公众号dc008免费分享】.docx,必修二\第九章统计\9.1 随机抽样,docx,.docx,25.86,2022/8/25 16:20,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时3294_9.1.3获取数据的途径-9.1.3获取数据的途径【公众号dc008免费分享】.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时3294_9.1.3获取数据的途径-9.1.3获取数据的途径【公众号dc008免费分享】.docx
课时3294_9.1.3获取数据的途径-9.1.3获取数据的途径【公众号dc008免费分享】.md,必修二\第九章统计\9.1 随机抽样,md,.md,7.8,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时3294_9.1.3获取数据的途径-9.1.3获取数据的途径【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时3294_9.1.3获取数据的途径-9.1.3获取数据的途径【公众号dc008免费分享】.md
课时40_第九章随机抽样_9.1.1简单随机抽样 二-教案【公众号dc008免费分享】.md,必修二\第九章统计\9.1 随机抽样,md,.md,10.12,2026/4/19 12:01,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时40_第九章随机抽样_9.1.1简单随机抽样 二-教案【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时40_第九章随机抽样_9.1.1简单随机抽样 二-教案【公众号dc008免费分享】.md
课时40_第九章随机抽样_9.1.1简单随机抽样 二-教案【公众号dc008免费分享】.pdf,必修二\第九章统计\9.1 随机抽样,pdf,.pdf,381.01,2022/8/27 17:32,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时40_第九章随机抽样_9.1.1简单随机抽样 二-教案【公众号dc008免费分享】.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时40_第九章随机抽样_9.1.1简单随机抽样 二-教案【公众号dc008免费分享】.pdf
课时41_第九章随机抽样_9.1.2分层随机抽样-教案【公众号dc008免费分享】.md,必修二\第九章统计\9.1 随机抽样,md,.md,5.68,2026/4/19 12:05,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时41_第九章随机抽样_9.1.2分层随机抽样-教案【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时41_第九章随机抽样_9.1.2分层随机抽样-教案【公众号dc008免费分享】.md
课时41_第九章随机抽样_9.1.2分层随机抽样-教案【公众号dc008免费分享】.pdf,必修二\第九章统计\9.1 随机抽样,pdf,.pdf,488.44,2022/8/27 17:32,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时41_第九章随机抽样_9.1.2分层随机抽样-教案【公众号dc008免费分享】.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/课时41_第九章随机抽样_9.1.2分层随机抽样-教案【公众号dc008免费分享】.pdf
0618高一数学(人教A版)用样本均值估计总体均值1教案.docx,必修二\第九章统计\9.2 用样本估计总体,docx,.docx,68.16,2026/2/6 22:48,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0618高一数学(人教A版)用样本均值估计总体均值1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0618高一数学(人教A版)用样本均值估计总体均值1教案.docx
0618高一数学(人教A版)用样本均值估计总体均值1教案.md,必修二\第九章统计\9.2 用样本估计总体,md,.md,17.75,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0618高一数学(人教A版)用样本均值估计总体均值1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0618高一数学(人教A版)用样本均值估计总体均值1教案.md
0622高一数学(人教A版)-总体取值规律的估计(一)-1教案.docx,必修二\第九章统计\9.2 用样本估计总体,docx,.docx,49.81,2026/2/6 22:48,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0622高一数学(人教A版)-总体取值规律的估计(一)-1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0622高一数学(人教A版)-总体取值规律的估计(一)-1教案.docx
0622高一数学(人教A版)-总体取值规律的估计(一)-1教案.md,必修二\第九章统计\9.2 用样本估计总体,md,.md,20.18,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0622高一数学(人教A版)-总体取值规律的估计(一)-1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0622高一数学(人教A版)-总体取值规律的估计(一)-1教案.md
0622高一数学(人教A版)-总体取值规律的估计(二)-1教案.docx,必修二\第九章统计\9.2 用样本估计总体,docx,.docx,251.63,2026/2/6 22:48,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0622高一数学(人教A版)-总体取值规律的估计(二)-1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0622高一数学(人教A版)-总体取值规律的估计(二)-1教案.docx
0622高一数学(人教A版)-总体取值规律的估计(二)-1教案.md,必修二\第九章统计\9.2 用样本估计总体,md,.md,20.33,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0622高一数学(人教A版)-总体取值规律的估计(二)-1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0622高一数学(人教A版)-总体取值规律的估计(二)-1教案.md
0623高一数学(人教A版)-总体百分位数的估计-1教案.docx,必修二\第九章统计\9.2 用样本估计总体,docx,.docx,440,2026/2/6 22:48,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0623高一数学(人教A版)-总体百分位数的估计-1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0623高一数学(人教A版)-总体百分位数的估计-1教案.docx
0623高一数学(人教A版)-总体百分位数的估计-1教案.md,必修二\第九章统计\9.2 用样本估计总体,md,.md,19,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0623高一数学(人教A版)-总体百分位数的估计-1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0623高一数学(人教A版)-总体百分位数的估计-1教案.md
0623高一数学(人教A版)-总体集中趋势的估计 -1教案.docx,必修二\第九章统计\9.2 用样本估计总体,docx,.docx,271.16,2026/2/6 22:48,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0623高一数学(人教A版)-总体集中趋势的估计 -1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0623高一数学(人教A版)-总体集中趋势的估计 -1教案.docx
0623高一数学(人教A版)-总体集中趋势的估计 -1教案.md,必修二\第九章统计\9.2 用样本估计总体,md,.md,33.97,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0623高一数学(人教A版)-总体集中趋势的估计 -1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0623高一数学(人教A版)-总体集中趋势的估计 -1教案.md
0624高一数学(人教A版)总体离散程度的估计(一)1教案   .docx,必修二\第九章统计\9.2 用样本估计总体,docx,.docx,1042.05,2026/2/6 22:48,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0624高一数学(人教A版)总体离散程度的估计(一)1教案   .docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0624高一数学(人教A版)总体离散程度的估计(一)1教案   .docx
0624高一数学(人教A版)总体离散程度的估计(一)1教案   .md,必修二\第九章统计\9.2 用样本估计总体,md,.md,16.34,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0624高一数学(人教A版)总体离散程度的估计(一)1教案   .md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/0624高一数学(人教A版)总体离散程度的估计(一)1教案   .md
课时3296_9.2.1总体取值规律的估计-9.2.1总体取值规律的估计教学设计【公众号dc008免费分享】.docx,必修二\第九章统计\9.2 用样本估计总体,docx,.docx,151.29,2022/8/25 16:20,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3296_9.2.1总体取值规律的估计-9.2.1总体取值规律的估计教学设计【公众号dc008免费分享】.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3296_9.2.1总体取值规律的估计-9.2.1总体取值规律的估计教学设计【公众号dc008免费分享】.docx
课时3296_9.2.1总体取值规律的估计-9.2.1总体取值规律的估计教学设计【公众号dc008免费分享】.md,必修二\第九章统计\9.2 用样本估计总体,md,.md,10.23,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3296_9.2.1总体取值规律的估计-9.2.1总体取值规律的估计教学设计【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3296_9.2.1总体取值规律的估计-9.2.1总体取值规律的估计教学设计【公众号dc008免费分享】.md
课时3297_9.2.2总体百分位数的估计-9.2.2总体百分位数的估计（教学设计）【公众号dc008免费分享】.docx,必修二\第九章统计\9.2 用样本估计总体,docx,.docx,257.67,2022/8/25 16:20,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3297_9.2.2总体百分位数的估计-9.2.2总体百分位数的估计（教学设计）【公众号dc008免费分享】.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3297_9.2.2总体百分位数的估计-9.2.2总体百分位数的估计（教学设计）【公众号dc008免费分享】.docx
课时3297_9.2.2总体百分位数的估计-9.2.2总体百分位数的估计（教学设计）【公众号dc008免费分享】.md,必修二\第九章统计\9.2 用样本估计总体,md,.md,5.61,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3297_9.2.2总体百分位数的估计-9.2.2总体百分位数的估计（教学设计）【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3297_9.2.2总体百分位数的估计-9.2.2总体百分位数的估计（教学设计）【公众号dc008免费分享】.md
课时3298_9.2.3总体集中趋势的估计-9.2.3总体集中趋势的估计教学设计—刘诗婷【公众号dc008免费分享】.docx,必修二\第九章统计\9.2 用样本估计总体,docx,.docx,225,2022/8/25 16:20,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3298_9.2.3总体集中趋势的估计-9.2.3总体集中趋势的估计教学设计—刘诗婷【公众号dc008免费分享】.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3298_9.2.3总体集中趋势的估计-9.2.3总体集中趋势的估计教学设计—刘诗婷【公众号dc008免费分享】.docx
课时3298_9.2.3总体集中趋势的估计-9.2.3总体集中趋势的估计教学设计—刘诗婷【公众号dc008免费分享】.md,必修二\第九章统计\9.2 用样本估计总体,md,.md,12.12,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3298_9.2.3总体集中趋势的估计-9.2.3总体集中趋势的估计教学设计—刘诗婷【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3298_9.2.3总体集中趋势的估计-9.2.3总体集中趋势的估计教学设计—刘诗婷【公众号dc008免费分享】.md
课时3299_9.2.4总体离散成都的估计-9.2.4总体离散程度的估计【公众号dc008免费分享】.docx,必修二\第九章统计\9.2 用样本估计总体,docx,.docx,87.78,2022/8/25 16:20,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3299_9.2.4总体离散成都的估计-9.2.4总体离散程度的估计【公众号dc008免费分享】.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3299_9.2.4总体离散成都的估计-9.2.4总体离散程度的估计【公众号dc008免费分享】.docx
课时3299_9.2.4总体离散成都的估计-9.2.4总体离散程度的估计【公众号dc008免费分享】.md,必修二\第九章统计\9.2 用样本估计总体,md,.md,8.16,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3299_9.2.4总体离散成都的估计-9.2.4总体离散程度的估计【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时3299_9.2.4总体离散成都的估计-9.2.4总体离散程度的估计【公众号dc008免费分享】.md
课时42_第九章随机抽样_9.2.1总体取值规律的估计 一 【至5.画频率分布直方图】-教案【公众号dc008免费分享】.md,必修二\第九章统计\9.2 用样本估计总体,md,.md,13.6,2026/4/19 12:10,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时42_第九章随机抽样_9.2.1总体取值规律的估计 一 【至5.画频率分布直方图】-教案【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时42_第九章随机抽样_9.2.1总体取值规律的估计 一 【至5.画频率分布直方图】-教案【公众号dc008免费分享】.md
课时42_第九章随机抽样_9.2.1总体取值规律的估计 一 【至5.画频率分布直方图】-教案【公众号dc008免费分享】.pdf,必修二\第九章统计\9.2 用样本估计总体,pdf,.pdf,513.51,2022/8/27 17:33,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时42_第九章随机抽样_9.2.1总体取值规律的估计 一 【至5.画频率分布直方图】-教案【公众号dc008免费分享】.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时42_第九章随机抽样_9.2.1总体取值规律的估计 一 【至5.画频率分布直方图】-教案【公众号dc008免费分享】.pdf
课时43_第九章随机抽样_9.2.2总体取值规律的估计 二-教案【公众号dc008免费分享】.md,必修二\第九章统计\9.2 用样本估计总体,md,.md,9.99,2026/4/19 12:16,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时43_第九章随机抽样_9.2.2总体取值规律的估计 二-教案【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.2 用样本估计总体/课时43_第九章随机抽样_9.2.2总体取值规律的估计 二-教案【公众号dc008免费分享】.md
