文件名,目录,文件类型,扩展名,大小(KB),修改时间,关联文件,图片数量,备注,完整路径,云端链接
北师大版（2019）必修第一册数学《简单随机抽样》教案.docx,必修二\第九章统计\9.1 随机抽样,原文件,.docx,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\北师大版（2019）必修第一册数学《简单随机抽样》教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E5%8C%97%E5%B8%88%E5%A4%A7%E7%89%88%EF%BC%882019%EF%BC%89%E5%BF%85%E4%BF%AE%E7%AC%AC%E4%B8%80%E5%86%8C%E6%95%B0%E5%AD%A6%E3%80%8A%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%E3%80%8B%E6%95%99%E6%A1%88.docx
北师大版（2019）必修第一册数学《简单随机抽样》教案.md,必修二\第九章统计\9.1 随机抽样,Markdown文件,.md,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\北师大版（2019）必修第一册数学《简单随机抽样》教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E5%8C%97%E5%B8%88%E5%A4%A7%E7%89%88%EF%BC%882019%EF%BC%89%E5%BF%85%E4%BF%AE%E7%AC%AC%E4%B8%80%E5%86%8C%E6%95%B0%E5%AD%A6%E3%80%8A%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%E3%80%8B%E6%95%99%E6%A1%88.md
新人教A版高中数学必修二第九单元《9.1.1简单随机抽样(第1课时)》教案.docx,必修二\第九章统计\9.1 随机抽样,原文件,.docx,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\新人教A版高中数学必修二第九单元《9.1.1简单随机抽样(第1课时)》教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E6%96%B0%E4%BA%BA%E6%95%99A%E7%89%88%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%BF%85%E4%BF%AE%E4%BA%8C%E7%AC%AC%E4%B9%9D%E5%8D%95%E5%85%83%E3%80%8A9.1.1%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%28%E7%AC%AC1%E8%AF%BE%E6%97%B6%29%E3%80%8B%E6%95%99%E6%A1%88.docx
新人教A版高中数学必修二第九单元《9.1.1简单随机抽样(第1课时)》教案.md,必修二\第九章统计\9.1 随机抽样,Markdown文件,.md,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\新人教A版高中数学必修二第九单元《9.1.1简单随机抽样(第1课时)》教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E6%96%B0%E4%BA%BA%E6%95%99A%E7%89%88%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%BF%85%E4%BF%AE%E4%BA%8C%E7%AC%AC%E4%B9%9D%E5%8D%95%E5%85%83%E3%80%8A9.1.1%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%28%E7%AC%AC1%E8%AF%BE%E6%97%B6%29%E3%80%8B%E6%95%99%E6%A1%88.md
课时3292_9.1.1简单随机抽样（第2课时）-9.1.1简单随机抽样（第2课时）【公众号dc008免费分享】.docx,必修二\第九章统计\9.1 随机抽样,原文件,.docx,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\课时3292_9.1.1简单随机抽样（第2课时）-9.1.1简单随机抽样（第2课时）【公众号dc008免费分享】.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E8%AF%BE%E6%97%B63292_9.1.1%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%EF%BC%88%E7%AC%AC2%E8%AF%BE%E6%97%B6%EF%BC%89-9.1.1%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%EF%BC%88%E7%AC%AC2%E8%AF%BE%E6%97%B6%EF%BC%89%E3%80%90%E5%85%AC%E4%BC%97%E5%8F%B7dc008%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB%E3%80%91.docx
课时3292_9.1.1简单随机抽样（第2课时）-9.1.1简单随机抽样（第2课时）【公众号dc008免费分享】.md,必修二\第九章统计\9.1 随机抽样,Markdown文件,.md,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\课时3292_9.1.1简单随机抽样（第2课时）-9.1.1简单随机抽样（第2课时）【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E8%AF%BE%E6%97%B63292_9.1.1%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%EF%BC%88%E7%AC%AC2%E8%AF%BE%E6%97%B6%EF%BC%89-9.1.1%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%EF%BC%88%E7%AC%AC2%E8%AF%BE%E6%97%B6%EF%BC%89%E3%80%90%E5%85%AC%E4%BC%97%E5%8F%B7dc008%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB%E3%80%91.md
课时3293_9.1.2分层随机抽样-9.1.2 分层随机抽样视频课教案【公众号dc008免费分享】.docx,必修二\第九章统计\9.1 随机抽样,原文件,.docx,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\课时3293_9.1.2分层随机抽样-9.1.2 分层随机抽样视频课教案【公众号dc008免费分享】.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E8%AF%BE%E6%97%B63293_9.1.2%E5%88%86%E5%B1%82%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7-9.1.2%20%E5%88%86%E5%B1%82%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%E8%A7%86%E9%A2%91%E8%AF%BE%E6%95%99%E6%A1%88%E3%80%90%E5%85%AC%E4%BC%97%E5%8F%B7dc008%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB%E3%80%91.docx
课时3293_9.1.2分层随机抽样-9.1.2 分层随机抽样视频课教案【公众号dc008免费分享】.md,必修二\第九章统计\9.1 随机抽样,Markdown文件,.md,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\课时3293_9.1.2分层随机抽样-9.1.2 分层随机抽样视频课教案【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E8%AF%BE%E6%97%B63293_9.1.2%E5%88%86%E5%B1%82%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7-9.1.2%20%E5%88%86%E5%B1%82%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%E8%A7%86%E9%A2%91%E8%AF%BE%E6%95%99%E6%A1%88%E3%80%90%E5%85%AC%E4%BC%97%E5%8F%B7dc008%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB%E3%80%91.md
课时3294_9.1.3获取数据的途径-9.1.3获取数据的途径【公众号dc008免费分享】.docx,必修二\第九章统计\9.1 随机抽样,原文件,.docx,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\课时3294_9.1.3获取数据的途径-9.1.3获取数据的途径【公众号dc008免费分享】.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E8%AF%BE%E6%97%B63294_9.1.3%E8%8E%B7%E5%8F%96%E6%95%B0%E6%8D%AE%E7%9A%84%E9%80%94%E5%BE%84-9.1.3%E8%8E%B7%E5%8F%96%E6%95%B0%E6%8D%AE%E7%9A%84%E9%80%94%E5%BE%84%E3%80%90%E5%85%AC%E4%BC%97%E5%8F%B7dc008%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB%E3%80%91.docx
课时3294_9.1.3获取数据的途径-9.1.3获取数据的途径【公众号dc008免费分享】.md,必修二\第九章统计\9.1 随机抽样,Markdown文件,.md,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\课时3294_9.1.3获取数据的途径-9.1.3获取数据的途径【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E8%AF%BE%E6%97%B63294_9.1.3%E8%8E%B7%E5%8F%96%E6%95%B0%E6%8D%AE%E7%9A%84%E9%80%94%E5%BE%84-9.1.3%E8%8E%B7%E5%8F%96%E6%95%B0%E6%8D%AE%E7%9A%84%E9%80%94%E5%BE%84%E3%80%90%E5%85%AC%E4%BC%97%E5%8F%B7dc008%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB%E3%80%91.md
课时40_第九章随机抽样_9.1.1简单随机抽样 二-教案【公众号dc008免费分享】.md,必修二\第九章统计\9.1 随机抽样,Markdown文件,.md,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\课时40_第九章随机抽样_9.1.1简单随机抽样 二-教案【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E8%AF%BE%E6%97%B640_%E7%AC%AC%E4%B9%9D%E7%AB%A0%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7_9.1.1%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%20%E4%BA%8C-%E6%95%99%E6%A1%88%E3%80%90%E5%85%AC%E4%BC%97%E5%8F%B7dc008%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB%E3%80%91.md
课时40_第九章随机抽样_9.1.1简单随机抽样 二-教案【公众号dc008免费分享】.pdf,必修二\第九章统计\9.1 随机抽样,原文件,.pdf,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\课时40_第九章随机抽样_9.1.1简单随机抽样 二-教案【公众号dc008免费分享】.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E8%AF%BE%E6%97%B640_%E7%AC%AC%E4%B9%9D%E7%AB%A0%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7_9.1.1%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%20%E4%BA%8C-%E6%95%99%E6%A1%88%E3%80%90%E5%85%AC%E4%BC%97%E5%8F%B7dc008%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB%E3%80%91.pdf
课时41_第九章随机抽样_9.1.2分层随机抽样-教案【公众号dc008免费分享】.md,必修二\第九章统计\9.1 随机抽样,Markdown文件,.md,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\课时41_第九章随机抽样_9.1.2分层随机抽样-教案【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E8%AF%BE%E6%97%B641_%E7%AC%AC%E4%B9%9D%E7%AB%A0%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7_9.1.2%E5%88%86%E5%B1%82%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7-%E6%95%99%E6%A1%88%E3%80%90%E5%85%AC%E4%BC%97%E5%8F%B7dc008%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB%E3%80%91.md
课时41_第九章随机抽样_9.1.2分层随机抽样-教案【公众号dc008免费分享】.pdf,必修二\第九章统计\9.1 随机抽样,原文件,.pdf,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\课时41_第九章随机抽样_9.1.2分层随机抽样-教案【公众号dc008免费分享】.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E8%AF%BE%E6%97%B641_%E7%AC%AC%E4%B9%9D%E7%AB%A0%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7_9.1.2%E5%88%86%E5%B1%82%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7-%E6%95%99%E6%A1%88%E3%80%90%E5%85%AC%E4%BC%97%E5%8F%B7dc008%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB%E3%80%91.pdf
