文件名,目录,文件类型,扩展名,大小(KB),修改时间,关联文件,图片数量,备注,完整路径,云端链接
课时18_第七章复数_7.1.2复数的几何意义-教案【公众号dc008免费分享】.pdf,第七章\7.1 复数的概念,原文件,.pdf,319.58,2022/8/27 17:19,课时18_第七章复数_7.1.2复数的几何意义-教案【公众号dc008免费分享】.md,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时18_第七章复数_7.1.2复数的几何意义-教案【公众号dc008免费分享】.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时18_第七章复数_7.1.2复数的几何意义-教案【公众号dc008免费分享】.pdf
课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】.docx,第七章\7.1 复数的概念,原文件,.docx,112.53,2022/8/25 16:16,课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】.md,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】.docx
课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】.md,第七章\7.1 复数的概念,Markdown文件,.md,6.14,2026/3/25 11:43,课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】.docx,4,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】.md
课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】_image_1.png,第七章\7.1 复数的概念,图片文件,.png,3.85,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】_image_1.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】_image_1.png
课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】_image_2.png,第七章\7.1 复数的概念,图片文件,.png,1.05,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】_image_2.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】_image_2.png
课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】_image_3.png,第七章\7.1 复数的概念,图片文件,.png,67.56,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】_image_3.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】_image_3.png
课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】_image_4.png,第七章\7.1 复数的概念,图片文件,.png,15.94,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】_image_4.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3256_7.1.1数系的扩充和复数的概念-7.1.1数系的扩充和复数的概念【公众号dc008免费分享】_image_4.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】.docx,第七章\7.1 复数的概念,原文件,.docx,568.24,2022/8/25 16:16,课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】.md,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】.docx
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】.md,第七章\7.1 复数的概念,Markdown文件,.md,8.02,2026/3/25 11:43,课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】.docx,22,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】.md
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_1.png,第七章\7.1 复数的概念,图片文件,.png,0.46,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_1.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_1.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_10.png,第七章\7.1 复数的概念,图片文件,.png,20.77,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_10.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_10.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_11.png,第七章\7.1 复数的概念,图片文件,.png,26.68,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_11.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_11.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_12.png,第七章\7.1 复数的概念,图片文件,.png,22.74,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_12.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_12.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_13.png,第七章\7.1 复数的概念,图片文件,.png,14.46,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_13.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_13.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_14.png,第七章\7.1 复数的概念,图片文件,.png,21,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_14.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_14.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_15.png,第七章\7.1 复数的概念,图片文件,.png,13.42,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_15.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_15.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_16.png,第七章\7.1 复数的概念,图片文件,.png,19.61,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_16.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_16.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_17.png,第七章\7.1 复数的概念,图片文件,.png,15.3,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_17.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_17.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_18.png,第七章\7.1 复数的概念,图片文件,.png,48.88,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_18.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_18.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_19.png,第七章\7.1 复数的概念,图片文件,.png,144.23,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_19.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_19.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_2.png,第七章\7.1 复数的概念,图片文件,.png,35.84,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_2.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_2.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_20.png,第七章\7.1 复数的概念,图片文件,.png,37.46,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_20.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_20.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_21.png,第七章\7.1 复数的概念,图片文件,.png,41.53,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_21.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_21.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_22.png,第七章\7.1 复数的概念,图片文件,.png,21.38,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_22.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_22.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_3.png,第七章\7.1 复数的概念,图片文件,.png,3.62,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_3.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_3.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_4.png,第七章\7.1 复数的概念,图片文件,.png,2.12,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_4.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_4.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_5.png,第七章\7.1 复数的概念,图片文件,.png,12.16,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_5.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_5.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_6.png,第七章\7.1 复数的概念,图片文件,.png,2.1,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_6.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_6.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_7.png,第七章\7.1 复数的概念,图片文件,.png,24.88,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_7.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_7.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_8.png,第七章\7.1 复数的概念,图片文件,.png,2.35,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_8.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_8.png
课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_9.png,第七章\7.1 复数的概念,图片文件,.png,1.99,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_9.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时3257_7.1.2复数的几何意义-7.1.2复数的几何意义教学设计【公众号dc008免费分享】_image_9.png
0527高一数学(人教A版)复数的几何意义-4教案.docx,第七章\7.2 复数的四则运算,原文件,.docx,136.65,2026/2/6 22:47,0527高一数学(人教A版)复数的几何意义-4教案.md,0,,D:\立体几何-教案\必修二\第七章\7.2 复数的四则运算\0527高一数学(人教A版)复数的几何意义-4教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.2 复数的四则运算/0527高一数学(人教A版)复数的几何意义-4教案.docx
0527高一数学(人教A版)复数的几何意义-4教案.md,第七章\7.2 复数的四则运算,Markdown文件,.md,10.09,2026/3/25 11:43,0527高一数学(人教A版)复数的几何意义-4教案.docx,45,,D:\立体几何-教案\必修二\第七章\7.2 复数的四则运算\0527高一数学(人教A版)复数的几何意义-4教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.2 复数的四则运算/0527高一数学(人教A版)复数的几何意义-4教案.md
0527高一数学(人教A版)复数的几何意义-4教案_image_1.png,第七章\7.2 复数的四则运算,图片文件,.png,0.74,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.2 复数的四则运算\0527高一数学(人教A版)复数的几何意义-4教案_image_1.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.2 复数的四则运算/0527高一数学(人教A版)复数的几何意义-4教案_image_1.png
0527高一数学(人教A版)复数的几何意义-4教案_image_10.png,第七章\7.2 复数的四则运算,图片文件,.png,0.75,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.2 复数的四则运算\0527高一数学(人教A版)复数的几何意义-4教案_image_10.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.2 复数的四则运算/0527高一数学(人教A版)复数的几何意义-4教案_image_10.png
0527高一数学(人教A版)复数的几何意义-4教案_image_11.png,第七章\7.2 复数的四则运算,图片文件,.png,0.61,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.2 复数的四则运算\0527高一数学(人教A版)复数的几何意义-4教案_image_11.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.2 复数的四则运算/0527高一数学(人教A版)复数的几何意义-4教案_image_11.png
0527高一数学(人教A版)复数的几何意义-4教案_image_12.png,第七章\7.2 复数的四则运算,图片文件,.png,0.73,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.2 复数的四则运算\0527高一数学(人教A版)复数的几何意义-4教案_image_12.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.2 复数的四则运算/0527高一数学(人教A版)复数的几何意义-4教案_image_12.png
0527高一数学(人教A版)复数的几何意义-4教案_image_13.png,第七章\7.2 复数的四则运算,图片文件,.png,10.54,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.2 复数的四则运算\0527高一数学(人教A版)复数的几何意义-4教案_image_13.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.2 复数的四则运算/0527高一数学(人教A版)复数的几何意义-4教案_image_13.png
